term,subset,value,odds_ratio,p_value,exact_matches,conceptual_matches,Text 1,Text 2,Text 3,total_matches
never boring,1Question, Like About Working Here,19.7951016802,1.8184016715e-10,43,5758,"I enjoy my job, it is never boring and it gives me the opportunity to learn and to keep in touch with technology.  It is also a place to meet new people.  I enjoy the interaction with my colleagues everyday, the feeling of belonging to a team and sharing the same values and objectives.","I like the ability to work with so many great people in corporate, our ownership groups, management companies and hotel teams.  Our work is challenging and never boring.  I also feel that we have the opportunity to make a difference.  Our company is like one big family and we all help and support each other.","I enjoy working everyone here. Always meeting new members and nothing is boring here always something new and challenging. My job has challenges everyday and very time consuming, but love it.",5801
carreer,1Question, Like About Working Here,18.8524777907,1.83000420082e-05,20,7494,Hilton is great place to work where team member is given an opportunity to grow their career.  Many opportunities are being offered to the team member for their career growth. Giving cross training to learn in different areas in the hotel/property.,"The opportunity to grow your career and travel the world. Although it still depends a lot on who you know and some ""political"" aspects, which is the case in most companies, although it is an improvement point. But the overall growth and career development opportunities in comparison to other companies are definitely the best part of Hilton.",My team is amazing. I love the people I work with and my manager. I truly feel the since of family within my department.    I also love that there is so much opportunity to grow my career. I love the hospitality industry and I feel like there are a lot of opportunities for me to learn and grow.,7514
interaction with guests,1Question, Like About Working Here,17.1018905673,2.21289670738e-28,138,9377,"I enjoy the people I work with, I feel the HRBP's and my HRD delivers on the HILTON values and are true role models which make them enjoyable to work with. I enjoy the ability to manage my own diary (within reason). I feel there could be more scope for improved flexibility and work life balance within HR however, this is sometimes dependant of the GM's and their requests and is not necessarily driven from HRD's. I also enjoy the relationships I have with co-workers. I really enjoy the work I do however, I feel there needs to be a review of the HR structure and the roles the HRM's have inherited. We are reverting back to doing a lot of transactional tasks and not having the ability or the time to influence the hotels through strategic interventions. I feel the initiatives we have in place are fantastic however, there is so much all at once which defers HRM's from being able to focus and deliver on the key HR pillars well! We run very thinly on the ground in the hotels, which generates challenges for HR as there are not many capable leaders or assistant managers who have the time, ability or capability to deliver and support the HR function. This then results in the initiatives not being managed to the best of their ability and not having the best input as there is either too much to do, not enough time, resources or people to provide the best outcomes. Alsoemails NEED to reduce!","Hilton Queenstown supports and encourages your career growth and aspirations. If you do a good job, the managers recognize this and reward you with prices and incentives. But what I like most are the people I am working with. It is a very diverse team and I really enjoy working with each one of them. This is not limited to my department. I haven't really met someone that I don't like.","What I like the most about working here at Hilton, is the people I work with. There is a ""family"" feel to working in this environment with my fellow co-workers and managers. Everyone is very attentive and always there to help when needed.",9515
family feel,1Question, Like About Working Here,17.1018905673,2.40328670991e-55,267,10644,I really enjoy the work family-like work environment and the people I work with.,"meeting new guests every time ,and learning about their different experiences in different hotels that they have been to and the people I work with have or give that feeling of a family and team work is always a must   I would say I enjoy my work environment mostly","The people I work with, without a doubt. This is the best place I have ever worked in my life because of WHO I work with. Hilton as a company is fantastic as well and I appreciate everything it does for its team members. I have never had a manager that I have loved and bonded with as much as Wendy. She genuinely cares about her team and goes out of her way to show us how much she appreciates us. She trusts us to do our job and doesn't mirco-manage, which is a great trait for a manager. Besides my main manager, my assistant manager Mary Ann is also wonderful and great to work with. My direct co-workers at the front desk are the best people I have ever worked with and our team spirit, how well we get along, and how we support each other is unmatched. Outside of my direct department, I feel appreciated and supported by every single person in my hotel. From my GM, to housekeeping, to valet, to sales, to engineering. The way we all come together as a team and motivate each other to go above and beyond is the reason our work environment can't be beat. As for Hilton itself, I deeply appreciate everything the company does for its team members and I genuinely feel that everyone, even up to the CEO, cares about the front line employees and wants us to have the opportunity to better ourselves. There's a reason Hilton is listed as one of the best places to work!",10911
ability to grow,1Question, Like About Working Here,13.1967344535,4.12906249912e-29,175,7376,Hilton is great place to work where team member is given an opportunity to grow their career.  Many opportunities are being offered to the team member for their career growth. Giving cross training to learn in different areas in the hotel/property.,Hilton gives opportunity to learn and grow the career.,My team is amazing. I love the people I work with and my manager. I truly feel the since of family within my department.    I also love that there is so much opportunity to grow my career. I love the hospitality industry and I feel like there are a lot of opportunities for me to learn and grow.,7551
prestige,1Question, Like About Working Here,13.1967344535,1.3572625313e-09,44,389,PRESTIGE,Prestige,Prestige,433
co workers,1Question, Like About Working Here,12.3777333691,1.68082480441e-155,861,8837,"What I like most about working here is everyone that I work with. My managers, co workers, and colleagues are so friendly are heart warming. Whether I work in their department tor not, everyone seems to know each other. It is a great environment to work in and a great company to work for.","The people i work with .The most engaging part of my job is my team of co workers who treat me  like family . The long hours , stress full situations, hard physical work all melt away when I am with my team of colleagues , as everyone is enthusiastic about sharing   others work load. The team spirit is what keeps me going every day",the people i work with both coworkers and guests and how friendly people can be,9698
interacting with guests,1Question, Like About Working Here,11.7154683414,1.54232785671e-34,187,11956,The thing that I like most is the since of family in my department. We are all close and care about each other. I love my job and being able to help others to relax and enjoy there time here on the island. I really enjoy working with Becky she has brought back the morale of the employees.,"Being able to work from home and pretty much set my own schedule is paramount and is the single biggest reason I stay in my current job as a BPS Director for All-Suites. I love my job and most of the people I work with, but if I had to do it from an office, particularly Memphis, I would seek other employment in a similar role where I could work from home. I really enjoy the work that I do and especially with the All-Suites team as presently constituted. There is an opportunity to contribute to the overall way we do business and my opinions are heard. Nobody likes change but when you have an opportunity to help form that change it is best for the overall performance of the team; we get to do that here. I appreciate the fact that I know what I am judged on and can easily pull most of my performance metrics to see how I am doing. I am given the tools to do my job and if I need something, I know I can ask my leaders and get a thoughtful response. I am always treated with respect and dignity and feel my teammates are as well. I am grateful for the opportunity to do this job and to keep THIS job through all of the changes over the past 18 months; that was not the same for my friends in Focus Service. I am thankful I have senior leaders that fought for us and continue to fight for us so we can keep our jobs and remain whole where other colleagues were less fortunate. I will continue to work hard for them and produce results that positively affect our owners, key stakeholders, hotel teams, my team, and Hilton.  Respectfully,  Sean P. Collard  Director BPS, All-Suites","I truly enjoy the work I do at the Front Desk.  I love my interactions with the guests and knowing that I am part of making their stay memorable for them.  Meeting new people from all over the world never gets old for me.  When returning guests remember me and/or ask for me, it makes my day!",12143
flexible schedule,1Question, Like About Working Here,10.8590272074,1.05415024724e-54,312,6066,The ability to work from home and the flexibility of my schedule.  It's extremely important for me to have the flexibility to work different days and different hours.  Working from home is the biggest perk and most important area for me personally.,I enjoy the work I do a great deal.  I appreciate the flexibility of my schedule and the ability to work from home.,"I love the flexibility of my schedule, and the ability to work from home.  I have 3 children, and I am so grateful to be able pick them up from school every day and bring them home so that they can complete their homework In a timely fashion, even when I have to work.  Working from home gives me the opportunity to stay close to home and BE with my children while also providing for them.",6378
travel benefits,1Question, Like About Working Here,10.8401747296,5.49911538506e-44,249,2867,I like the opportunity to meet people from many countries and show them our hospitality.  I also like the travel benefits that I am given with the Go Hilton Program.  I enjoy the relationship that I have with my manager and the other employees I work with.,"MY FAVORITE THING ABOUT WORKING AT HILTON WOULD HAVE TO BE THE  TRAVEL BENEFITS! THE NEW GO HILTON PROGRAM IS EXCELLENT, AND GIVES  GREAT PRICES AT MANY OF OUR HOTELS AROUND THE WORLD!","Go Hilton Program, Flexible Schedule, Work From Home Ability, Work Benefits, Job Recognition.",3116
no suggestions,1Question, Suggestions For Improvement,182.475535885,9.79715154455e-53,172,718,for now I have no improvements to suggest,I do not have any improvements to suggest.,I have no improvements to suggest,890
better communication,1Question, Suggestions For Improvement,135.795747635,1.04067395703e-152,515,7883,NEED MORE COMMUNICATIONS BETWEEN DEPARTMENTS,"I think that there needs to be more communication between the department head and the staff. Being a small staff, there is not a reason that thing cannot be relayed to us. I joined the staff because of the effective communication however I feel as if it has dwindled the last few months have went by. There has been many times that you hear of something the day of rather than a few weeks ahead. There is no time to prepare for things that are mandatory or of importance to better staff morale.","Cafeteria food and the person that works there. We need to hire people that come here to work, and not be on their personal device. The hotel needs to continue it's cleanliness of the property.  We need more communications between departments.",8398
more staff,1Question, Suggestions For Improvement,102.271172438,9.4855459327e-142,554,1583,"The scheduling is very very poor. Even just in my department, I see regularly that we don't have enough staff to affectively do our jobs. The overwhelming majority of issues we have is rooted in not having adequate staff. Not enough people to cover shifts, so if someone is feeling unwell or has something come up they are still forced to come in. No flexibility in the shifts we can chose from. When on shift we let down guests because we simply cannot be in enough places or doing enough things at once.   We need more staff and we need more flexibility in scheduling. This will also increase moral because employees wont feel so overworked, which most do. Especially those who are not in management. Management seems to be able to take whatever time they like off and work whatever hours they please while everyone else is held to a different, stricter standard.",need more staff to make sure no staff will stayback because some of outlet they didn't paid over time claim,"We are royally understaffed.  During our daily mid-day rushes, at the front desk, sometimes you cannot see the end of the line and guests tell us that they have been waiting in line for 40mins to an hour.  Our SALT scores are  high because we staff 5,6, and 7 GSAs on Honors side to every 2 on the non-Honors side but these are guests too and they should not be discarded just because they probably won't fill out a servey.  The true value of our property is how we treat all guests not just the ones to fill out the survey.  The front staff can't keep up with these lines so they call out the back office people, which would normally not be a problem except they call them out so often that these people struggle to finish their jobs.  We need more staffing to help us get done what we need to without making guests wait for an hour in line.  All departments are struggling.  Our company culture needs to provide for better staffing to do our jobs.",2137
bathroom,1Question, Suggestions For Improvement,93.3595764992,1.10499662116e-26,88,3037,"Overall, Hilton Waikoloa is a great place to work.  My problem is with other departments.  We need to have a 12 hour laundry shift.  Rooms cannot be done with cleanliness as a factor because the housekeepers are leaving the rooms half done.  Missing towels, soap not replenished, carpet not vacuum, screens & furniture not dusted.  If the housekeeper has all her supplies (towels, linens, shower curtains, working vacuum, ect.) she could finish her room before jumping into another room.  Whenever the housekeeper needs to return to finish cleaning the room, it's time wasted.  This is where we drop service.  It all starts with Laundry.  A better TV/movie system is needed as the present one is too complicated for most guests to operate.","1. paid holidays (i.e. any team member working on a holiday should be compensated with holiday pay plus regular time pay)  2. improvements to guest rooms:  a. soundproofing rooms especially those that are prone to noise   b. the tubs/showers need remodeling - many of our guests do not like the bathroom. shower head too low, shower stall too small, stains, not modern  3. Front Desk/Lobby area to be remodeled  a. tiles on floor look work and dirty  b. restaurant space needs be separate from that of lobby space. it is unusual for guests to be told lobby space is reserved for restaurant seating/service",I feel that Housekeeping is the most important department to a hotel business. If your hotel is not up to standards or you don't have what you need when you travel your going to get a lot of angry guest and bad reviews and people will not stay at your hotel. We are a downtown hotel so when people book our hotel their expectations are higher then to them booking a hotel in our local areas. which we all as employees should understand that as well. Housekeeping is unorganized we need more staff in housekeeping it is starting to be overwhelming when you try to save money and overwork one individual in each section of housekeeping . sometimes it be so much laundry that needs to be clean and our machines half work or dryer machines are out and they do temporary fixes to get them back running. With our housekeepers you giving the girls a time limit to be done by the end of the day and the girls are doing basic cleaning rushing through the rooms an attend to forget things.We are all humans we can be forgetful and make mistakes but those mistakes could be prevented a lot if our housekeepers were not so overwhelmed an stressed due to the amount of rooms they are doing a day. Our rooms are not regular rooms as the other hotels we have suites which their is more space to detail clean more items as refrigerator and microwave to clean. In other hotels its just the room bathroom and bed. And they give you 14 credits. Its a difference. Plus the new rooms are more difficult than the older rooms cause now you have carpet and hardwood floors so you are doing double work on cleaning the new rooms with cleaning the floors. We need vinegar for the water stains because the water in the hotel is hard. we need to find what product would be best to use on the floors because our product is starting to discolor the floors that are being newly renovated. We need to have all items like soap laundry bags toilet paper shampoo conditioner lotion over stocked. So we don't run out during big events.,3125
suggest,1Question, Suggestions For Improvement,86.5697891174,0.0,1779,1083,"I would suggest for directors/top management to engage more with team members and take their thoughts/suggestions/needs into consideration.  If you read trip advisor/salt reviews or even go and talk to guests you will find out that they do not return to this property for our deteriorating and outdated furniture, they do not come back for our lack of supply, they do not come back for our overpriced food and drinks or outdated menu, they come back for THE EXCELLENT STAFF.  Time and time again guests mention how well they are treated by everyone from the front desk to the valet up to the pool and the restaurant.  Our great service is what leaves an impression on the guests and brings them back year after year.  With that being said, I feel that we should be valued and appreciated more.  Months ago management began an incentive program that was never followed through with, payments are not made or kept track of, we are not told when we are mentioned on surveys or reviews.  I believe management should always be keeping track when we are mentioned, read us the review that was left, hearing positive feedback like that boosts morale and encourages strong work ethic.  It is hard to have pride and confidence in our hotel without the encouragement, without the physical supplies as well.  We lack full table settings sometimes, lack proper restaurant staff, no host, no food runners, no bussers, it is embarrassing.  As a server I should not have to greet my table by starting with a list of things we don't have (sushi) or have to put a napkin under a table so it doesn't wobble.  So I would definitely suggest some more appreciation and consideration of our ideas.  We are the ones spending the most time with guests so we can best recommend what they would like to see more/less of, after all the guests are most important, right?","There are a couple of things that I would like to see improved. Medical benefits would be one, each year they get more and more expensive. I can't imagine team members making $10.00 per/hr with a family that need to be covered how they would pay for their benefits. Second thing is, I wish my direct manager was more of a leader and not just a boss. When things get busy he doesn't jump in to carry requisitions to not overwork the team he just piles it up on the recruiters, and suggest pertain able methods to cut processes and save time. It's easy for someone to tell the team how to do things and how to save time when they have never carried more than 2 - 8 requisitions.  When you have a team that is very dedicated and works very hard, and that constantly works more than 45 - 50 hrs a week and will not bill more than 40, just to get the job done and avoid dissatisfaction from our properties and HR partners there is a challenge. Direction from our manager and communication can be confusing at times, and for some reason it's put back on the team but if everyone on the team is misunderstanding what the manager is trying to deliver but then the manager just makes comments like ""why does everyone have to question and not just do what they are told""  it hurts the morale of the team. I've learned to just keep my opinions and suggestions to myself as I don't feel like my opinion matters. I hope that speaking my mind on this survey will not bring negative repercussions. I love my team and love working for Hilton as a company in itself is why I stay.","I have a few improvements that I would suggest. We are running several programs I disagree with one is FPG. It is a sales program. I understand we are in the business of making money and providing customer service. This program is asking customer service representatives to be salesman. I know as a guest the last thing I want to be is when checking into a hotel room and engaging the clerk about an upsell. If I wanted to be a salesman I would have gone into that field. It is a program that is really pushed hard here. The trainers are good don't get me wrong. I just think it is a misplaced program. I love the Kipsu idea of using emails or texts to communicate with guests. It is a great idea. It could be expanded into other areas, to provide promotional information in the future. I would also like to see if the managers at the hotel would be more concerned about training and staffing rather than their end of year budget so they can get there bonuses. Many times we are under staffed and our new hires are rushed along to quickly into the fire. Once in the job because of low staffing they are rushed along to quickly to get a body in the position. Our hiring process is slow. When we do get someone hired they are rushed into the job. They can struggle on the job. Have a manager talk to them about quality of work and then wither get rid of them or they quit. All due to lack of quality training. The materials are here at the hotel just not used effectively. Once employees go through the internet training programs they are thrown into the job. We here have limited trainers due to volume of work.     Our management here at the top is good. Our  front office director here is not good. Our morale is very poor. I have talked to most of the staff and we all feel the same way. We are overworked, under appreciated, under paid and afraid to say a thing. The repercussions at the hotel in our office is very bad. I have personally heard our manager say , Don't piss off the mama bear.",2862
more communication,1Question, Suggestions For Improvement,84.5187075125,3.60176191728e-70,313,7287,more communication betwen departments,More communication within department amoung managers and gsa ..managers should not lie or being dishonest about situations with gsa and behave like teenagewith situations. MANAGERS SOME OF THEM IN THE FRONT OFFICE NEEDS MORE TRAINING HOW TO MANAGE THE OFFICE AND NOT BEING AS IF THEY R IN HIGH SCHOOL 'INTERNS SHOUL NOT IMMEDIATELY GIVEN MANAGERS POSITIONS !! MAJOR PROBLEM NUMBER ONE . THEY NEED TO HAVE GSA TRAINING BEFORE BEING MANAGERS ..THEY NEED TO KNOW HOW TO HANDLE GUEST . YET THEY R GIVEN HIGH RECOGNITIONS BECAUSES OF FAVORITISM..,"I would suggest more communication across the board between departments, its seems as though everyone is over worked, feel like I am just a number at times and it seems as though some departments are so overwhelmed that they are unable to accommodate everyone. I also feel that there are a numerous amount of issues with the WAH department that no one is on the same page. They implement new demands and place us in situations where our hands are tied and people are consistently arguing about what the ""right way"" and the ""wrong way"" is.",7600
improvements I suggest,1Question, Suggestions For Improvement,72.1414909312,5.34614895566e-40,137,2611,better communication between all departments more staffing in all departments,improvements i would suggest would be more consistency... we lack communication between departments and we end up having to deal with other departments issues,THE IMPROVEMENT THAT I SUGGEST I THAT WE NEED MORE COMMUMICATIONS,2748
chicken,1Question, Suggestions For Improvement,72.1414909312,1.61912681636e-20,68,247,"I would say that the hotel has poor food choices and our  employee café does not feel like a cafeteria. Their isn't much choices of food that the team members can choose from. I would like to see a hotline that has daily food choices like, hamburgers, hotdogs, subs, cheese sticks, curly fries, chicken sandwiches, grilled cheese, quesadilla. These items should be on our daily menu list to order to pick up, and I would not mind paying $5 dollars for that if it included a main course and two entrées. That would just be the team members second alternative incase we did like what was being served at the hotline. I would also like to see soft serve ice cream being served ( or some type of dessert).","I know that there is been modifications to our food options but I think we can do even better.  1. Ohana coffee: too much deep fried food. I know it tastes probably good but it kills us slowly too:) There are so many healthy alternatives witch tastes amazingly and easy to make as well. Our chefs need maybe a little training about healthy meals. For ex. grilled chicken/tofu instead of battered chicken or fish, sweet potatoes, coconut curries etc.  2. Grand Wailea food outlets: fresh fresh fresher food. I had a wrap at Bistro Molokini witch was not good at all, it was a veggie wrap and it did not feel fresh to me, like it was grilled maybe earlier in the day so the veggies were dry and flavorless.   Salads are very basic in a way that are easily made at home, for a luxury property we need some novelty, something we can get only at GW.","The employee cafeteria is slightly lacking. It would be nice to see more vegetarian or vegan options available-- healthy options and not just cheesy potatoes or grilled cheese. Also, more dressings in the salad bar would be nice-- hummus would be a great addition as well! Offering some sort of healthy grain such as quinoa or cous cous would be a plus! The food available in the evening is not always consistent and seems to be less than what is offered during the day. You should make soup a staple and always available to eat!     I do like the beverage machine!",315
hire more,1Question, Suggestions For Improvement,71.4342214122,8.49558867041e-59,255,264,I  sudgest that mngement should hire more men waiters because during operation men perform well during the heavy task,"NO LEADERSHIP, NO COMUNICATION, NO FAIR TREATMENT.",I think our house keeping manager need to learn how to communicate with her staff without being rude. She love to insult her staff during role call.The new front desk manager has a lying problem.LEROY BROWN is a very cold man.Human resourses needs some training on how to be effective in there position they allow there personal feeling to get in there way .IM REALLY SICK OF THE WAY THIS HOTEL RUN IT HAS NO STRUCTURE.The line staff are not treated fairly and managerment is allowed to do what ever they want to do .The seashell café food is awful in the night the day food is pretty good .FOOD AND BEVERAGE need some help we are considered the forgotten child .They treat us as if we are not human being and that's very sad.If I could fine another job with the same traveling benefits I would leave in a heart beat.I am not happy here I do it for the paycheck .OH I almost forgot that we have to work all area in food and beverage.The kitchen need help as well .PLEASE CAN HILTON HIRE MANAGERS WITH A HEART AND STOP HIRING MACHINE TO MANAGER HUMAN BEINGS.,519
canteen food,1Question, Suggestions For Improvement,58.349735312,5.01920899301e-32,112,3443,"BETTER FOOD IN THE CAFETERIA.  NOT DOG SLOP.  A CHEF SHOULD BE PROUD OF THE FOOD THEY MAKE, BUT IT IS PRETTY HORRIBLE HERE.  WE PROMOTE HEALTHY LIVING, BUT THE FOOD QUALITY IS HORRIBLE.  EVEN WHEN WE ASK TO REFILL THE CAFETERIA FOOD, WE GET AN ATTITUDE FROM THE EXECUTIVE CHEF.    THE TRASH SMELL IS A PROBLEM TOO.  TRYING TO HOLD YOUR BREATHER AS YOU PASS THE EMPLOYEE ENTRANCE IS NOT JOKE.  ITS TOXIC.","In staff canteen the food is still not so good ,, need to provide more Maldivian food and food quality need to be improved lot.",PLESE PUT THE BETTER FOOD IN CAFETERIA.WHICH IS PLACEING ITS NOT EATABLE.,3555
frozen,1Question, Suggestions For Improvement,58.349735312,1.58361832592e-16,55,4,Even with the new system it freezes from time to time.,"Stop with frozen precooked meals and old tamales every day please. Very unhealthy and does not taste good. Everything else we get is fried,literally swimming in a pool of grease. Salad bar sometimes is fresh, but has flies all over so not appetizing. People have reported illnesses but nothing changed. Since new cafeteria opened, food actually seems to be Cooked with even less effort. And no montly menu put out anymore. Just seems like we get whatever random stuff has been stashed in the fridge for the last few months. Condiments, drinks not always refilled. Just unappetizing all around.",don't serve frozen foods. get a butcher to supply your meat.,59
